Campaign,Keyword,Match Type,Type
Loader,-parts,Negative,Negative
Loader,-for sale,Negative,Negative
Loader,-training,Negative,Negative
Loader,-certification,Negative,Negative
Scissor-Lift,scissor lift rental,Phrase,Positive
Scissor-Lift,rough terrain scissor lift,Phrase,Positive
Scissor-Lift,electric scissor lift rental,Phrase,Positive
Scissor-Lift,narrow scissor lift,Phrase,Positive
Scissor-Lift,indoor scissor lift,Phrase,Positive
Scissor-Lift,outdoor scissor lift,Phrase,Positive
Scissor-Lift,tall scissor lift rental,Phrase,Positive
Scissor-Lift,low scissor lift rental,Phrase,Positive
Scissor-Lift,20 ft scissor lift,Phrase,Positive
Scissor-Lift,25 ft scissor lift,Phrase,Positive
Scissor-Lift,30 ft scissor lift,Phrase,Positive
Scissor-Lift,scissor lift rental near me,Phrase,Positive
Scissor-Lift,scissor lift for rent,Phrase,Positive
Scissor-Lift,rent scissor lift,Phrase,Positive
Scissor-Lift,scissor lift hire,Phrase,Positive
Scissor-Lift,scissor lift rental,Phrase,Positive
Scissor-Lift,-canada,Negative,Negative
Scissor-Lift,-jobs,Negative,Negative
Scissor-Lift,-training,Negative,Negative
Scissor-Lift,-certification,Negative,Negative
Scissor-Lift,-parts,Negative,Negative
Scissor-Lift,-for sale,Negative,Negative
Scissor-Lift,-boom lift,Negative,Negative
Scissor-Lift,-aerial lift,Negative,Negative
Scissor-Lift,-cherry picker,Negative,Negative
Scissor-Lift,-operator,Negative,Negative
Backhoe,backhoe rental,Phrase,Positive
Backhoe,backhoe rental near me,Phrase,Positive
Backhoe,backhoe rental cost,Phrase,Positive
Backhoe,backhoe loader rental,Phrase,Positive
Backhoe,construction backhoe rental,Phrase,Positive
Backhoe,rent backhoe,Phrase,Positive
Backhoe,backhoe for rent,Phrase,Positive
Backhoe,backhoe hire,Phrase,Positive
Backhoe,rent a backhoe,Phrase,Positive
Backhoe,-canada,Negative,Negative
Backhoe,-jobs,Negative,Negative
Backhoe,-operator,Negative,Negative
Backhoe,-parts,Negative,Negative
Backhoe,-for sale,Negative,Negative
Backhoe,-training,Negative,Negative
Backhoe,-certification,Negative,Negative
Excavator,excavator rental,Phrase,Positive
Excavator,mini excavator rental,Phrase,Positive
Excavator,compact excavator rental,Phrase,Positive
Excavator,large excavator rental,Phrase,Positive
Excavator,50 ton excavator,Phrase,Positive
Excavator,excavator rental near me,Phrase,Positive
Excavator,excavator for rent,Phrase,Positive
Excavator,rent excavator,Phrase,Positive
Excavator,rent mini excavator,Phrase,Positive
Excavator,small excavator rental,Phrase,Positive
Excavator,-canada,Negative,Negative
Excavator,-jobs,Negative,Negative
Excavator,-operator,Negative,Negative
Excavator,-parts,Negative,Negative
Excavator,-for sale,Negative,Negative
Excavator,-training,Negative,Negative
Excavator,-certification,Negative,Negative
Excavator,-toy,Negative,Negative
DSA,-canada,Negative,Negative
DSA,-canadian,Negative,Negative
DSA,-toronto,Negative,Negative
DSA,-vancouver,Negative,Negative
DSA,-montreal,Negative,Negative
DSA,-quebec,Negative,Negative
DSA,-alberta,Negative,Negative
DSA,-ontario,Negative,Negative
DSA,-british columbia,Negative,Negative
DSA,-trailer,Negative,Negative
DSA,-truck rental,Negative,Negative
DSA,-car rental,Negative,Negative
DSA,-suv rental,Negative,Negative
DSA,-motorcycle,Negative,Negative
DSA,-van rental,Negative,Negative
DSA,-jobs,Negative,Negative
DSA,-hiring,Negative,Negative
DSA,-employment,Negative,Negative
DSA,-career,Negative,Negative
DSA,-resume,Negative,Negative
DSA,-apply,Negative,Negative
DSA,-parts,Negative,Negative
DSA,-for sale,Negative,Negative
DSA,-buy,Negative,Negative
DSA,-purchase equipment,Negative,Negative
DSA,-used equipment,Negative,Negative
DSA,-equipment sales,Negative,Negative
DSA,-toy,Negative,Negative
DSA,-model,Negative,Negative
DSA,-miniature,Negative,Negative
DSA,-rc,Negative,Negative
DSA,-remote control,Negative,Negative
DSA,-video game,Negative,Negative
DSA,-game,Negative,Negative
DSA,-uk,Negative,Negative
DSA,-europe,Negative,Negative
DSA,-asia,Negative,Negative
DSA,-australia,Negative,Negative
DSA,-mexico,Negative,Negative
DSA,-training,Negative,Negative
DSA,-certification,Negative,Negative
DSA,-operator,Negative,Negative
DSA,-license,Negative,Negative
DSA,-school,Negative,Negative
Brand,dozr,Exact,Positive
Brand,dozr rental,Exact,Positive
Brand,dozr.com,Exact,Positive
Brand,dozr equipment,Phrase,Positive
Brand,dozr equipment rental,Phrase,Positive
Brand,-united rentals,Negative,Negative
Brand,-sunbelt,Negative,Negative
Brand,-herc,Negative,Negative
Brand,-home depot,Negative,Negative
Brand,-lowes,Negative,Negative
Brand,-cat rental,Negative,Negative
Brand,-caterpillar rental store,Negative,Negative
Brand,-sunbelt rentals,Negative,Negative
Brand,-united rentals near me,Negative,Negative
